"transaction_id","procedure_id","trans_group_id","trans_group_ar","trans_group_en","procedure_name_ar","procedure_name_en","instance_date","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","property_usage_ar","property_usage_en","reg_type_id","reg_type_ar","reg_type_en","area_id","area_name_ar","area_name_en","building_name_ar","building_name_en","project_number","project_name_ar","project_name_en","master_project_en","master_project_ar","nearest_landmark_ar","nearest_landmark_en","nearest_metro_ar","nearest_metro_en","nearest_mall_ar","nearest_mall_en","rooms_ar","rooms_en","has_parking","procedure_area","actual_worth","meter_sale_price","rent_value","meter_rent_price","no_of_parties_role_1","no_of_parties_role_2","no_of_parties_role_3"
"3-9-2006-163","9","3","هبات","Gifts","هبه","Grant","16-10-2006","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","278","منخول","Mankhool","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","3162.42","12000000.00","3794.56",null,null,"3","1","0"
"3-9-2019-2944","9","3","هبات","Gifts","هبه","Grant","13-11-2019","1","أرض","Land",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","278","منخول","Mankhool","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","209.09","916659.00","4384.04",null,null,"2","4","0"
"2-13-2001-690","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","20-08-2001","2","مبنى","Building",null,"","","سكني / تجاري","Residential / Commercial","1","العقارات القائمة","Existing Properties","388","عود ميثا","Oud Metha","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو عود ميثاء","Oud Metha Metro Station","مول دبي","Dubai Mall","","","0","1337.80","4519342.00","3378.19",null,null,"1","1","0"
"2-13-2020-9477","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","30-11-2020","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","276","البدع","Al Bada","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو المركز التجاري","Trade Centre Metro Station","مول دبي","Dubai Mall","","","0","278.71","2500000.00","8969.90",null,null,"1","1","0"
"2-13-1999-532","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","26-04-1999","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","276","البدع","Al Bada","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو المركز التجاري","Trade Centre Metro Station","مول دبي","Dubai Mall","","","0","3626.93","1900000.00","523.86",null,null,"1","1","0"
"1-11-2025-36691","11","1","مبايعات","Sales","بيع","Sell","04-09-2025","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","271","الكرامه","Al Karama","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","211.37","7000000.00","33117.28",null,null,"1","2","0"
"2-13-1998-354","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","01-07-1998","2","مبنى","Building",null,"","","سكني / تجاري","Residential / Commercial","1","العقارات القائمة","Existing Properties","271","الكرامه","Al Karama","","",null,"","","","","مطار دبي الدولي","Dubai International Airport","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","929.03","5000000.00","5381.96",null,null,"1","1","0"
"2-13-2007-1077","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","07-06-2007","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","271","الكرامه","Al Karama","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","211.35","1849364.00","8750.24",null,null,"1","1","0"
"2-13-2006-578","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","15-05-2006","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","271","الكرامه","Al Karama","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","211.35","1200000.00","5677.79",null,null,"1","1","0"
"1-11-2023-24638","11","1","مبايعات","Sales","بيع","Sell","18-08-2023","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","271","الكرامه","Al Karama","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","211.35","5000000.00","23657.44",null,null,"14","1","0"
"2-13-2005-88","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","07-02-2005","2","مبنى","Building",null,"","","سكني / تجاري","Residential / Commercial","1","العقارات القائمة","Existing Properties","271","الكرامه","Al Karama","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","1969.54","4500000.00","2284.80",null,null,"1","1","0"
